Concelho,lat,lon,time,thetao,heatspot_lat,heatspot_lon,geometry,nome_praia,min,max,min2,max2
Grândola,38.17744700000003,-8.780516999999975,2026-08-15T20:00:00Z,20.3580004919786,38.16667,-8.77777767,"c(-8.78051699999997, 38.177447)",Aberta Nova (Grândola),15.671603404002013,18.533420259206125,14.240694976399956,19.96432868680818
Sintra,38.803522000000044,-9.485690999999974,2026-08-15T20:00:00Z,17.2830003459239,38.80556,-9.5,"c(-9.48569099999997, 38.803522)",Adraga (Sintra),15.146941948482702,18.020369021758565,13.710228411844769,19.4570825583965
Viana do Castelo,41.78083000000004,-8.871389999999963,2026-08-15T20:00:00Z,15.2480002492666,41.77778,-8.86111069,"c(-8.87138999999996, 41.78083)",Afife (Viana do Castelo),14.620409070210219,17.59707139514641,13.132077907742122,19.085402557614508
Vila Nova de Gaia,41.050830000000076,-8.65582999999998,2026-08-15T20:00:00Z,17.8900003747549,41.05556,-8.66666698,"c(-8.65582999999998, 41.0508300000001)",Aguda (Vila Nova de Gaia),16.05835145001122,19.21721824105661,14.478918054488528,20.796651636579302
Matosinhos,41.24109400000003,-8.727541999999971,2026-08-15T20:00:00Z,18.0050003802171,41.25,-8.72222233,"c(-8.72754199999997, 41.241094)",Agudela (Matosinhos),15.94541980583304,19.47596885767807,14.180145279910525,21.241243383600583
Machico,32.774830000000065,-16.82854999999995,2026-08-15T20:00:00Z,24.2300006758887,32.77778,-16.80556,"c(-16.82855, 32.7748300000001)",Alagoa (Machico),22.41961882858915,23.60308355684812,21.827886464459667,24.194815920977604
Castro Marim,37.16906000000006,-7.4975599999999645,2026-08-15T20:00:00Z,21.8230005615624,37.16667,-7.5,"c(-7.49755999999996, 37.1690600000001)",Alagoa - Altura (Castro Marim),19.678699669459775,23.788902019904086,17.623598494237616,25.844003195126245
Lagoa,37.090940000000046,-8.399979999999971,2026-08-15T20:00:00Z,19.3330004432937,37.08333,-8.38888931,"c(-8.39997999999997, 37.09094)",Albandeira (Lagoa),16.667652431124054,20.66642023128064,14.668268531045758,22.665804131358936
Setúbal,38.51123000000007,-8.914528999999959,2026-08-15T20:00:00Z,19.995000474737,38.5,-8.91666698,"c(-8.91452899999996, 38.5112300000001)",Albarquel (Setúbal),15.507650787095532,18.043766523228886,14.239592919028855,19.311824391295563
Albufeira,37.08428300000003,-8.239075999999955,2026-08-15T20:00:00Z,19.8750004690373,37.08333,-8.25,"c(-8.23907599999995, 37.084283)",Alemães (Albufeira),16.932491945227746,21.07510661123667,14.861184612223287,23.14641394424113
Mafra,38.96700000000004,-9.42026599999997,2026-08-15T20:00:00Z,16.7750003217952,38.97222,-9.41666698,"c(-9.42026599999997, 38.967)",Algodio ou do Norte - Ericeira (Mafra),15.796520809010017,18.462074695823098,14.463743865603476,19.79485163922964
Loulé,37.05838000000006,-8.08352999999994,2026-08-15T20:00:00Z,20.9160005184822,37.05556,-8.08333302,"c(-8.08352999999994, 37.0583800000001)",Almargem (Loulé),17.215694489129532,21.35524030098847,15.145921583200066,23.42501320691794
Odemira,37.65234700000008,-8.801949999999977,2026-08-15T20:00:00Z,18.8670004211599,37.63889,-8.80555534,"c(-8.80194999999998, 37.6523470000001)",Almograve Norte (Odemira),15.343447487156812,18.923222730703518,13.553559865383459,20.71311035247687
Odemira,37.648622000000046,-8.80485299999998,2026-08-15T20:00:00Z,18.8670004211599,37.63889,-8.80555534,"c(-8.80485299999998, 37.648622)",Almograve Sul (Odemira),15.343447487156812,18.923222730703518,13.553559865383459,20.71311035247687
Horta,38.555638000000044,-28.609751999999958,2026-08-15T20:00:00Z,26.4481773376465,36.83334,-28.5,"c(-28.609752, 38.555638)",Almoxarife (Horta),22.93151982003022,24.41401509906567,22.190272180512494,25.155262738583396
Vila do Bispo,37.065217000000075,-8.794876999999929,2026-08-15T20:00:00Z,18.3780003979336,37.05556,-8.80555534,"c(-8.79487699999993, 37.0652170000001)",Almádena - Cabanas Velhas (Vila do Bispo),15.845464581492342,19.799676966209674,13.868358389133675,21.776783158568342
Odemira,37.51863600000007,-8.787102999999945,2026-08-15T20:00:00Z,18.8800004217774,37.52778,-8.77777767,"c(-8.78710299999995, 37.5186360000001)",Alteirinhos (Odemira),15.339043827323035,18.938379264611246,13.53937610867893,20.73804698325535
Figueira da Foz,40.154457000000036,-8.873282999999958,2026-08-15T20:00:00Z,18.1430003867717,40.16667,-8.88888931,"c(-8.87328299999996, 40.154457)",Alto do Viso (Figueira da Foz),15.840720078731726,18.94298464644504,14.289587794875068,20.4941169303017
Portimão,37.120741000000066,-8.586569999999938,2026-08-15T20:00:00Z,19.024000428617,37.11111,-8.58333302,"c(-8.58656999999994, 37.1207410000001)",Alvor - Nascente (Portimão),16.436623634888534,20.200940373744118,14.554465265460744,22.08309874317191
Portimão,37.12218000000007,-8.597239999999942,2026-08-15T20:00:00Z,18.8260004192125,37.11111,-8.61111069,"c(-8.59723999999994, 37.1221800000001)",Alvor - Poente (Portimão),16.436623634888534,20.200940373744118,14.554465265460744,22.08309874317191
Aljezur,37.16698000000008,-8.903449999999964,2026-08-15T20:00:00Z,17.2040003421716,37.16667,-8.91666698,"c(-8.90344999999996, 37.1669800000001)",Amado (Aljezur),15.969403807984385,19.605559575464802,14.151325924244176,21.42363745920501
Torres Vedras,39.14907900000003,-9.373373999999956,2026-08-15T20:00:00Z,16.8370003247401,39.13889,-9.38888931,"c(-9.37337399999996, 39.149079)",Amanhã-Santa Cruz (Torres Vedras),14.781596172436561,17.92649351162505,13.209147502842317,19.498942181219295
Aljezur,37.352130000000045,-8.845009999999945,2026-08-15T20:00:00Z,19.4130004470935,37.36111,-8.83333302,"c(-8.84500999999995, 37.35213)",Amoreira - Mar (Aljezur),15.76073570100377,19.526854105577517,13.877676498716896,21.409913307864393
Viana do Castelo,41.64734200000004,-8.825871999999947,2026-08-15T20:00:00Z,15.3480002540164,41.63889,-8.83333302,"c(-8.82587199999995, 41.647342)",Amorosa-Chafé (Viana do Castelo),15.394708441741054,18.087085302058032,14.048520011582566,19.433273732216524
Viana do Castelo,41.64384800000005,-8.824427999999955,2026-08-15T20:00:00Z,15.3480002540164,41.63889,-8.83333302,"c(-8.82442799999995, 41.643848)",Amorosa-Chafé Sul (Viana do Castelo),15.394708441741054,18.087085302058032,14.048520011582566,19.433273732216524
Loulé,37.03215000000006,-8.038519999999949,2026-08-15T20:00:00Z,21.0890005266992,37.02778,-8.02777767,"c(-8.03851999999995, 37.0321500000001)",Ancão (Loulé),17.215694489129532,21.35524030098847,15.145921583200066,23.42501320691794
Matosinhos,41.26944000000003,-8.727779999999939,2026-08-15T20:00:00Z,17.7020003658254,41.27778,-8.72222233,"c(-8.72777999999994, 41.26944)",Angeiras Norte (Matosinhos),15.94541980583304,19.47596885767807,14.180145279910525,21.241243383600583
Vila do Porto,37.005040000000065,-25.157329999999945,2026-08-15T20:00:00Z,24.7147102355957,36.83334,-25.16666,"c(-25.1573299999999, 37.0050400000001)",Anjos (Vila do Porto),22.831373213463937,24.25105727589734,22.121531182247235,24.960899307114044
Ponta do Sol,32.69057000000004,-17.12047999999993,2026-08-15T20:00:00Z,25.7750007492723,32.69444,-17.11111,"c(-17.1204799999999, 32.69057)",Anjos-Ponta do Sol (Ponta do Sol),23.063787664583458,24.210463630873903,22.490449681438236,24.783801614019126
Esposende,41.48289900000003,-8.778291999999965,2026-08-15T20:00:00Z,15.6660002691206,41.47222,-8.77777767,"c(-8.77829199999996, 41.482899)",Apúlia - Couve Centro (Esposende),15.092035867997822,18.116042345559094,13.580032629217184,19.62804558433973
Esposende,41.48341000000005,-8.777954999999963,2026-08-15T20:00:00Z,15.6660002691206,41.47222,-8.77777767,"c(-8.77795499999996, 41.48341)",Apúlia - Couve Norte (Esposende),15.092035867997822,18.116042345559094,13.580032629217184,19.62804558433973
Esposende,41.48238100000003,-8.776753999999926,2026-08-15T20:00:00Z,15.6660002691206,41.47222,-8.77777767,"c(-8.77675399999993, 41.482381)",Apúlia - Couve Sul (Esposende),15.092035867997822,18.116042345559094,13.580032629217184,19.62804558433973
Esposende,41.486492000000055,-8.781041999999957,2026-08-15T20:00:00Z,15.6660002691206,41.5,-8.77777767,"c(-8.78104199999996, 41.4864920000001)",Apúlia Norte (Esposende),15.092035867997822,18.116042345559094,13.580032629217184,19.62804558433973
São Roque do Pico,38.56032000000005,-28.408759999999972,2026-08-15T20:00:00Z,26.4481773376465,36.83334,-28.5,"c(-28.40876, 38.56032)",Arcos (São Roque do Pico),22.9179091114073,24.392468484805004,22.18062942470845,25.129748171503856
Viana do Castelo,41.77028000000007,-8.8741699999999355,2026-08-15T20:00:00Z,15.2480002492666,41.77778,-8.86111069,"c(-8.87416999999994, 41.7702800000001)",Arda/Bico (Viana do Castelo),14.620409070210219,17.59707139514641,13.132077907742122,19.085402557614508
Lourinhã,39.25930600000004,-9.338491999999974,2026-08-15T20:00:00Z,16.3790003029862,39.25,-9.33333302,"c(-9.33849199999997, 39.259306)",Areal Sul (Lourinhã),14.924314022866833,18.314950973780565,13.228995547409966,20.010269449237434
Ribeira Grande,37.81726000000003,-25.548309999999958,2026-08-15T20:00:00Z,25.3918952941895,36.83334,-25.58333,"c(-25.54831, 37.81726)",Areal de Santa Bárbara (Ribeira Grande),22.79179811080628,24.220945542125005,22.077224395146914,24.93551925778437
Funchal,32.642570000000035,-16.959469999999953,2026-08-15T20:00:00Z,25.905000755447,32.63889,-16.94444,"c(-16.95947, 32.64257)",Areeiro (Funchal),22.92015653650465,24.15322405975669,22.303622774878626,24.76975782138271
Lourinhã,39.26380900000004,-9.336811999999952,2026-08-15T20:00:00Z,16.3790003029862,39.25,-9.33333302,"c(-9.33681199999995, 39.263809)",Areia Branca (Lourinhã),14.924314022866833,18.314950973780565,13.228995547409966,20.010269449237434
Lourinhã,39.26380100000006,-9.336825999999974,2026-08-15T20:00:00Z,16.3790003029862,39.25,-9.33333302,"c(-9.33682599999997, 39.2638010000001)",Areia Branca - Foz (Lourinhã),14.924314022866833,18.314950973780565,13.228995547409966,20.010269449237434
Vagos,40.52104300000008,-8.783518999999956,2026-08-15T20:00:00Z,19.1700004355516,40.52778,-8.77777767,"c(-8.78351899999996, 40.5210430000001)",Areão (Vagos),16.016881128847317,18.896688545026436,14.57697742075776,20.33659225311599
Silves,37.10146000000003,-8.366029999999967,2026-08-15T20:00:00Z,19.7080004611053,37.08333,-8.36111069,"c(-8.36602999999997, 37.10146)",Armação de Pêra (Silves),16.75392633316627,20.850232548963376,14.705773225267714,22.898385656861933
Olhão,37.013990000000035,-7.793839999999932,2026-08-15T20:00:00Z,21.5140005468857,37.02778,-7.80555534,"c(-7.79383999999993, 37.01399)",Armona - Mar (Olhão),17.480218366866982,21.969084281063207,15.235785409768871,24.213517238161316
Aljezur,37.29455000000007,-8.866319999999973,2026-08-15T20:00:00Z,18.4090003994061,37.30556,-8.86111069,"c(-8.86631999999997, 37.2945500000001)",Arrifana (Aljezur),15.76073570100377,19.526854105577517,13.877676498716896,21.409913307864393
Albufeira,37.075950000000034,-8.27732999999995,2026-08-15T20:00:00Z,19.8330004670424,37.05556,-8.27777767,"c(-8.27732999999995, 37.07595)",Arrifes (Albufeira),16.932491945227746,21.07510661123667,14.861184612223287,23.14641394424113
Matosinhos,41.20611000000008,-8.716669999999965,2026-08-15T20:00:00Z,18.1920003890991,41.19444,-8.72222233,"c(-8.71666999999997, 41.2061100000001)",Aterro (Matosinhos),16.347824197192118,19.712389209305208,14.665541691135571,21.394671715361753
Grândola,38.45245200000005,-8.862372999999934,2026-08-15T20:00:00Z,20.0420004769694,38.44444,-8.86111069,"c(-8.86237299999993, 38.4524520000001)",Atlântica (Grândola),15.507650787095532,18.043766523228886,14.239592919028855,19.311824391295563
Vila Nova de Gaia,41.08532400000007,-8.65763499999997,2026-08-15T20:00:00Z,17.6480003632605,41.08333,-8.66666698,"c(-8.65763499999997, 41.0853240000001)",Atlântico (Vila Nova de Gaia),16.05835145001122,19.21721824105661,14.478918054488528,20.796651636579302
Albufeira,37.08353000000005,-8.231139999999925,2026-08-15T20:00:00Z,19.9940004746895,37.08333,-8.22222233,"c(-8.23113999999993, 37.0835300000001)",Aveiros (Albufeira),16.932491945227746,21.07510661123667,14.861184612223287,23.14641394424113
Cascais,38.68774600000006,-9.359925999999973,2026-08-15T20:00:00Z,17.9950003797421,38.69444,-9.36111069,"c(-9.35992599999997, 38.6877460000001)",Avencas (Cascais),15.872097720551558,18.195747775221427,14.710272693216623,19.357572802556362
Cascais,38.70063200000004,-9.389407999999946,2026-08-15T20:00:00Z,16.8320003245026,38.69444,-9.41666698,"c(-9.38940799999995, 38.700632)",Azarujinha - Estoril (Cascais),15.112335210042279,17.739079193470577,13.798963218328131,19.052451185184726
Sintra,38.84042000000005,-9.46327999999994,2026-08-15T20:00:00Z,17.2840003459714,38.83333,-9.47222233,"c(-9.46327999999994, 38.8404200000001)",Azenhas do Mar (Sintra),15.146941948482702,18.020369021758565,13.710228411844769,19.4570825583965
Matosinhos,41.20778000000007,-8.71614999999997,2026-08-15T20:00:00Z,18.1920003890991,41.19444,-8.72222233,"c(-8.71614999999997, 41.2077800000001)",Azul (Matosinhos),16.347824197192118,19.712389209305208,14.665541691135571,21.394671715361753
Póvoa de Varzim,41.384596000000045,-8.772298999999975,2026-08-15T20:00:00Z,16.9490003300598,41.38889,-8.77777767,"c(-8.77229899999998, 41.384596)",Azul (Póvoa de Varzim),15.632143067483932,19.02198406533134,13.93722256856023,20.71690456425504
Torres Vedras,39.11436000000003,-9.393789999999967,2026-08-15T20:00:00Z,16.7300003196578,39.11111,-9.38888931,"c(-9.39378999999997, 39.11436)",Azul (Torres Vedras),14.805021605649053,17.87257095052724,13.27124693320996,19.406345622966334
Lagoa,37.71721700000006,-25.518830999999977,2026-08-15T20:00:00Z,25.3151931762695,36.83334,-25.5,"c(-25.518831, 37.7172170000001)",Baixa da Areia (Lagoa),22.99646581371498,24.111036874007457,22.439180283568742,24.668322404153695
Madalena,38.418540000000064,-28.385129999999947,2026-08-15T20:00:00Z,26.4027118682861,36.83334,-28.41666,"c(-28.3851299999999, 38.4185400000001)",Baixas (Madalena),22.843454698464313,24.34444775954779,22.092958167922575,25.09494429008953
Peniche,39.36752100000007,-9.340123999999946,2026-08-15T20:00:00Z,16.0000002849847,39.36111,-9.36111069,"c(-9.34012399999995, 39.3675210000001)",Baleal Campismo (Peniche),15.667254768017115,19.192760305611788,13.904501999219779,20.955513074409122
Peniche,39.373800000000074,-9.337132999999938,2026-08-15T20:00:00Z,18.9090004231548,39.38889,-9.33333302,"c(-9.33713299999994, 39.3738000000001)",Baleal Norte (Peniche),15.667254768017115,19.192760305611788,13.904501999219779,20.955513074409122
