nome_praia,geometry,Concelho,nome_praia_final
Foz do Minho,"c(-8.86416999999994, 41.8669400000001)",Caminha,Foz do Minho (Caminha)
Moledo (Norte),"c(-8.86619099999996, 41.852895)",Caminha,Moledo Norte (Caminha)
Moledo (Mergulho e Vapor),"c(-8.86631899999998, 41.8499780000001)",Caminha,Moledo - Mergulho e Vapor (Caminha)
Moledo (Sul),"c(-8.86647999999997, 41.8475920000001)",Caminha,Moledo Sul (Caminha)
Vila Praia de Âncora,"c(-8.86611699999997, 41.812219)",Caminha,Vila Praia de Âncora (Caminha)
Forte do Cão - Gelfa,"c(-8.87110999999993, 41.8005600000001)",Caminha,Forte do Cão - Gelfa (Caminha)
Ínsua,"c(-8.87138999999996, 41.78556)",Viana do Castelo,Ínsua (Viana do Castelo)
Afife,"c(-8.87138999999996, 41.78083)",Viana do Castelo,Afife (Viana do Castelo)
Arda/Bico,"c(-8.87416999999994, 41.7702800000001)",Viana do Castelo,Arda/Bico (Viana do Castelo)
Paçô/Carreço,"c(-8.87805999999995, 41.7597200000001)",Viana do Castelo,Paçô/Carreço (Viana do Castelo)
Carreço,"c(-8.87721999999997, 41.7413900000001)",Viana do Castelo,Carreço (Viana do Castelo)
Norte,"c(-8.85027999999994, 41.69611)",Viana do Castelo,Norte (Viana do Castelo)
Cabedelo,"c(-8.83555999999993, 41.6800000000001)",Viana do Castelo,Cabedelo (Viana do Castelo)
Cabedelo/Luziamar,"c(-8.83112599999993, 41.6779520000001)",Viana do Castelo,Cabedelo/Luziamar (Viana do Castelo)
Amorosa-Chafé,"c(-8.82587199999995, 41.647342)",Viana do Castelo,Amorosa-Chafé (Viana do Castelo)
Amorosa-Chafé Sul,"c(-8.82442799999995, 41.643848)",Viana do Castelo,Amorosa-Chafé Sul (Viana do Castelo)
Pedra Alta (Castelo de Neiva),"c(-8.81721999999996, 41.62528)",Viana do Castelo,Pedra Alta - Castelo de Neiva (Viana do Castelo)
Rio de Moinhos,"c(-8.79832999999996, 41.56528)",Esposende,Rio de Moinhos (Esposende)
Cepães,"c(-8.79388999999998, 41.5541700000001)",Esposende,Cepães (Esposende)
Suave Mar (Norte),"c(-8.79189199999996, 41.547465)",Esposende,Suave Mar Norte (Esposende)
Suave Mar (Centro),"c(-8.79236899999995, 41.545534)",Esposende,Suave Mar Centro (Esposende)
Suave Mar (Sul),"c(-8.79259999999994, 41.5424870000001)",Esposende,Suave Mar Sul (Esposende)
Ofir,"c(-8.78777999999994, 41.5172200000001)",Esposende,Ofir (Esposende)
Apúlia Norte,"c(-8.78104199999996, 41.4864920000001)",Esposende,Apúlia Norte (Esposende)
Apúlia (Couve Norte),"c(-8.77795499999996, 41.48341)",Esposende,Apúlia - Couve Norte (Esposende)
Apúlia (Couve Centro),"c(-8.77829199999996, 41.482899)",Esposende,Apúlia - Couve Centro (Esposende)
Apúlia (Couve Sul),"c(-8.77675399999993, 41.482381)",Esposende,Apúlia - Couve Sul (Esposende)
Ramalha,"c(-8.77638999999994, 41.47389)",Esposende,Ramalha (Esposende)
Estela,"c(-8.77971999999994, 41.4430600000001)",Póvoa de Varzim,Estela (Póvoa de Varzim)
Codixeira,"c(-8.78138999999993, 41.4380600000001)",Póvoa de Varzim,Codixeira (Póvoa de Varzim)
Paimó/Aguçadoura,"c(-8.78416999999996, 41.4316700000001)",Póvoa de Varzim,Paimó/Aguçadoura (Póvoa de Varzim)
Santo André,"c(-8.78778499999993, 41.416431)",Póvoa de Varzim,Santo André (Póvoa de Varzim)
Quião,"c(-8.78282099999996, 41.4086790000001)",Póvoa de Varzim,Quião (Póvoa de Varzim)
Esteiro,"c(-8.77858899999995, 41.401189)",Póvoa de Varzim,Esteiro (Póvoa de Varzim)
Fragosa,"c(-8.77943999999997, 41.3975)",Póvoa de Varzim,Fragosa (Póvoa de Varzim)
Fragosinho,"c(-8.77754299999998, 41.394121)",Póvoa de Varzim,Fragosinho (Póvoa de Varzim)
Pontes,"c(-8.77706399999994, 41.393677)",Póvoa de Varzim,Pontes (Póvoa de Varzim)
Lagoa,"c(-8.77672299999995, 41.393199)",Póvoa de Varzim,Lagoa (Póvoa de Varzim)
Hotel,"c(-8.77528199999995, 41.391825)",Póvoa de Varzim,Hotel (Póvoa de Varzim)
Lagoa II,"c(-8.77472799999993, 41.390657)",Póvoa de Varzim,Lagoa II (Póvoa de Varzim)
Lada I,"c(-8.77518999999995, 41.3891370000001)",Póvoa de Varzim,Lada I (Póvoa de Varzim)
Lada II,"c(-8.77494099999996, 41.3883230000001)",Póvoa de Varzim,Lada II (Póvoa de Varzim)
Beijinhos,"c(-8.77508699999993, 41.3878690000001)",Póvoa de Varzim,Beijinhos (Póvoa de Varzim)
Verde,"c(-8.77417699999995, 41.3854920000001)",Póvoa de Varzim,Verde (Póvoa de Varzim)
Azul (Póvoa de Varzim),"c(-8.77229899999998, 41.384596)",Póvoa de Varzim,Azul (Póvoa de Varzim)
Salgueira,"c(-8.77128899999997, 41.3824970000001)",Póvoa de Varzim,Salgueira (Póvoa de Varzim)
Carvalhido,"c(-8.77033699999993, 41.3807810000001)",Póvoa de Varzim,Carvalhido (Póvoa de Varzim)
Redonda,"c(-8.76929599999994, 41.379374)",Póvoa de Varzim,Redonda (Póvoa de Varzim)
Loulé,"c(-8.76907199999994, 41.3786910000001)",Póvoa de Varzim,Loulé (Póvoa de Varzim)
Redonda/Leixão,"c(-8.76880799999998, 41.3780610000001)",Póvoa de Varzim,Redonda/Leixão (Póvoa de Varzim)
Barcos,"c(-8.76032399999997, 41.361698)",Vila do Conde,Barcos (Vila do Conde)
Mar e Sol (Vila do Conde),"c(-8.75955599999998, 41.361365)",Vila do Conde,Mar e Sol (Vila do Conde)
Luzimar,"c(-8.75855099999995, 41.3607660000001)",Vila do Conde,Luzimar (Vila do Conde)
Pôr do Sol,"c(-8.75719099999998, 41.359047)",Vila do Conde,Pôr do Sol (Vila do Conde)
Caxinas,"c(-8.75641799999994, 41.357847)",Vila do Conde,Caxinas (Vila do Conde)
Olinda,"c(-8.75477499999994, 41.3517420000001)",Vila do Conde,Olinda (Vila do Conde)
Turismo,"c(-8.75419999999997, 41.350465)",Vila do Conde,Turismo (Vila do Conde)
Praia Azul (Vila do Conde),"c(-8.75410699999998, 41.34844)",Vila do Conde,Praia Azul (Vila do Conde)
Ladeira,"c(-8.75461899999993, 41.344369)",Vila do Conde,Ladeira (Vila do Conde)
Forno,"c(-8.75318799999997, 41.3423760000001)",Vila do Conde,Forno (Vila do Conde)
N. Sª da Guia,"c(-8.75074299999994, 41.34088)",Vila do Conde,N. Sª da Guia (Vila do Conde)
Árvore,"c(-8.74006999999995, 41.3303100000001)",Vila do Conde,Árvore (Vila do Conde)
Mindelo,"c(-8.74039799999997, 41.3094510000001)",Vila do Conde,Mindelo (Vila do Conde)
Pinhal dos Elétricos,"c(-8.73810599999996, 41.3034700000001)",Vila do Conde,Pinhal dos Elétricos (Vila do Conde)
Laderça,"c(-8.73755199999994, 41.3007720000001)",Vila do Conde,Laderça (Vila do Conde)
Terra Nova,"c(-8.73734499999995, 41.298145)",Vila do Conde,Terra Nova (Vila do Conde)
Congreira,"c(-8.73621799999995, 41.2950680000001)",Vila do Conde,Congreira (Vila do Conde)
Vila Chã,"c(-8.73305399999998, 41.2899090000001)",Vila do Conde,Vila Chã (Vila do Conde)
Pucinho,"c(-8.73242199999993, 41.2883870000001)",Vila do Conde,Pucinho (Vila do Conde)
São Paio/Moreiró,"c(-8.73186699999997, 41.2831800000001)",Vila do Conde,São Paio/Moreiró (Vila do Conde)
Labruge,"c(-8.72860999999995, 41.27444)",Vila do Conde,Labruge (Vila do Conde)
Angeiras Norte,"c(-8.72777999999994, 41.26944)",Matosinhos,Angeiras Norte (Matosinhos)
Central,"c(-8.72860999999995, 41.2652800000001)",Matosinhos,Central (Matosinhos)
Funtão,"c(-8.72499999999997, 41.25944)",Matosinhos,Funtão (Matosinhos)
Pedras Brancas,"c(-8.72471999999993, 41.2533300000001)",Matosinhos,Pedras Brancas (Matosinhos)
Pedras do Corgo,"c(-8.72582999999997, 41.2488900000001)",Matosinhos,Pedras do Corgo (Matosinhos)
Pedras da Agudela,"c(-8.72756199999998, 41.2434930000001)",Matosinhos,Pedras da Agudela (Matosinhos)
Agudela,"c(-8.72754199999997, 41.241094)",Matosinhos,Agudela (Matosinhos)
Quebrada,"c(-8.72610999999995, 41.23972)",Matosinhos,Quebrada (Matosinhos)
Marreco,"c(-8.72360999999995, 41.2350000000001)",Matosinhos,Marreco (Matosinhos)
Memória,"c(-8.72193999999996, 41.23056)",Matosinhos,Memória (Matosinhos)
Cabo do Mundo,"c(-8.71610999999996, 41.22306)",Matosinhos,Cabo do Mundo (Matosinhos)
Azul (Matosinhos),"c(-8.71614999999997, 41.2077800000001)",Matosinhos,Azul (Matosinhos)
Aterro,"c(-8.71666999999997, 41.2061100000001)",Matosinhos,Aterro (Matosinhos)
Boa Nova-Senhora,"c(-8.71377999999993, 41.2017300000001)",Matosinhos,Boa Nova-Senhora (Matosinhos)
Fuzelhas,"c(-8.71004999999997, 41.19604)",Matosinhos,Fuzelhas (Matosinhos)
Leça da Palmeira,"c(-8.70693999999997, 41.1908300000001)",Matosinhos,Leça da Palmeira (Matosinhos)
Matosinhos (Norte),"c(-8.69428899999997, 41.179358)",Matosinhos,Matosinhos Norte (Matosinhos)
Matosinhos (Centro),"c(-8.69202499999994, 41.176855)",Matosinhos,Matosinhos Centro (Matosinhos)
Matosinhos (Sul),"c(-8.69010199999997, 41.1745060000001)",Matosinhos,Matosinhos Sul (Matosinhos)
Castelo do Queijo,"c(-8.69027999999997, 41.16806)",Porto,Castelo do Queijo (Porto)
Homem do Leme,"c(-8.68638999999996, 41.16056)",Porto,Homem do Leme (Porto)
Molhe,"c(-8.68388799999997, 41.1579600000001)",Porto,Molhe (Porto)
Gondarém,"c(-8.68173599999994, 41.156123)",Porto,Gondarém (Porto)
Luz (Porto),"c(-8.67945299999997, 41.1528960000001)",Porto,Luz (Porto)
Ingleses,"c(-8.67833899999994, 41.1518090000001)",Porto,Ingleses (Porto)
Ourigo,"c(-8.67701699999998, 41.149978)",Porto,Ourigo (Porto)
Carneiro,"c(-8.67619099999996, 41.1488190000001)",Porto,Carneiro (Porto)
Pastoras,"c(-8.67547399999995, 41.14727)",Porto,Pastoras (Porto)
Lavadores,"c(-8.66816599999993, 41.128592)",Vila Nova de Gaia,Lavadores (Vila Nova de Gaia)
Pedras Amarelas,"c(-8.66742999999997, 41.1264100000001)",Vila Nova de Gaia,Pedras Amarelas (Vila Nova de Gaia)
Estrela-do-Mar,"c(-8.66749999999996, 41.1225660000001)",Vila Nova de Gaia,Estrela-do-Mar (Vila Nova de Gaia)
Salgueiros,"c(-8.66526299999998, 41.1200150000001)",Vila Nova de Gaia,Salgueiros (Vila Nova de Gaia)
Sereia da Costa Verde,"c(-8.66453399999995, 41.1172110000001)",Vila Nova de Gaia,Sereia da Costa Verde (Vila Nova de Gaia)
Canide Norte,"c(-8.66470399999997, 41.115279)",Vila Nova de Gaia,Canide Norte (Vila Nova de Gaia)
Canide Sul,"c(-8.66360999999995, 41.1119400000001)",Vila Nova de Gaia,Canide Sul (Vila Nova de Gaia)
Marbelo,"c(-8.66269099999994, 41.106048)",Vila Nova de Gaia,Marbelo (Vila Nova de Gaia)
Madalena Norte,"c(-8.66221999999993, 41.10306)",Vila Nova de Gaia,Madalena Norte (Vila Nova de Gaia)
Madalena Sul,"c(-8.66082999999998, 41.09972)",Vila Nova de Gaia,Madalena Sul (Vila Nova de Gaia)
Valadares Norte,"c(-8.65805999999998, 41.0919400000001)",Vila Nova de Gaia,Valadares Norte (Vila Nova de Gaia)
Sindicato,"c(-8.65747899999997, 41.089138)",Vila Nova de Gaia,Sindicato (Vila Nova de Gaia)
Atlântico,"c(-8.65763499999997, 41.0853240000001)",Vila Nova de Gaia,Atlântico (Vila Nova de Gaia)
Dunas Mar,"c(-8.65693999999996, 41.0825)",Vila Nova de Gaia,Dunas Mar (Vila Nova de Gaia)
Francelos,"c(-8.65721999999994, 41.08)",Vila Nova de Gaia,Francelos (Vila Nova de Gaia)
Francemar,"c(-8.65749999999997, 41.0755600000001)",Vila Nova de Gaia,Francemar (Vila Nova de Gaia)
Sãozinha,"c(-8.65832999999998, 41.0725)",Vila Nova de Gaia,Sãozinha (Vila Nova de Gaia)
Senhor da Pedra,"c(-8.65860999999995, 41.06917)",Vila Nova de Gaia,Senhor da Pedra (Vila Nova de Gaia)
Miramar Norte,"c(-8.65768099999997, 41.0676560000001)",Vila Nova de Gaia,Miramar Norte (Vila Nova de Gaia)
Miramar Sul,"c(-8.65729299999998, 41.0661860000001)",Vila Nova de Gaia,Miramar Sul (Vila Nova de Gaia)
Mar e Sol (Vila Nova de Gaia),"c(-8.65693999999996, 41.0583300000001)",Vila Nova de Gaia,Mar e Sol (Vila Nova de Gaia)
Aguda,"c(-8.65582999999998, 41.0508300000001)",Vila Nova de Gaia,Aguda (Vila Nova de Gaia)
Granja,"c(-8.65027999999995, 41.0400000000001)",Vila Nova de Gaia,Granja (Vila Nova de Gaia)
Boca Mar,"c(-8.64638999999994, 41.03056)",Vila Nova de Gaia,Boca Mar (Vila Nova de Gaia)
"Frente Azul Norte (Marbelo, Pop Norte e Pop Sul)","c(-8.64496999999994, 41.0142030000001)",Espinho,"Frente Azul Norte - Marbelo, Pop Norte e Pop Sul (Espinho)"
Frente Azul Centro (Azul Norte e Azul Sul),"c(-8.64541299999996, 41.0126090000001)",Espinho,Frente Azul Centro - Azul Norte e Azul Sul (Espinho)
Frente Azul Sul (Seca e Costa Verde),"c(-8.64577799999995, 41.010747)",Espinho,Frente Azul Sul - Seca e Costa Verde (Espinho)
Baía,"c(-8.64693999999997, 41.0088900000001)",Espinho,Baía (Espinho)
Rua 37,"c(-8.64749999999998, 41.0013900000001)",Espinho,Rua 37 (Espinho)
Silvalde,"c(-8.64749999999998, 40.99028)",Espinho,Silvalde (Espinho)
Paramos,"c(-8.64971999999995, 40.97722)",Espinho,Paramos (Espinho)
Esmoriz,"c(-8.65692599999994, 40.9536350000001)",Ovar,Esmoriz (Ovar)
Cortegaça,"c(-8.65955599999995, 40.9404730000001)",Ovar,Cortegaça (Ovar)
Cortegaça - Parque Campismo,"c(-8.65918399999993, 40.9393450000001)",Ovar,Cortegaça - Parque Campismo (Ovar)
São Pedro de Maceda,"c(-8.66328999999996, 40.92042)",Ovar,São Pedro de Maceda (Ovar)
Furadouro,"c(-8.67755299999993, 40.873706)",Ovar,Furadouro (Ovar)
Torrão do Lameiro,"c(-8.69166999999993, 40.8288900000001)",Ovar,Torrão do Lameiro (Ovar)
Torreira,"c(-8.71429399999994, 40.76149)",Murtosa,Torreira (Murtosa)
São Jacinto,"c(-8.74632299999996, 40.6695480000001)",Aveiro,São Jacinto (Aveiro)
Meia Laranja,"c(-8.74857099999997, 40.642684)",Ílhavo,Meia Laranja (Ílhavo)
Barra Norte (UB1-4),"c(-8.74997399999995, 40.638273)",Ílhavo,Barra Norte - UB1-4 (Ílhavo)
Barra Centro (UB5-8),"c(-8.74949799999996, 40.6336150000001)",Ílhavo,Barra Centro - UB5-8 (Ílhavo)
Barra Sul (UB9-13),"c(-8.74984899999993, 40.6311640000001)",Ílhavo,Barra Sul - UB9-13 (Ílhavo)
Costa Nova,"c(-8.75411499999996, 40.617485)",Ílhavo,Costa Nova (Ílhavo)
Costa Nova Sul,"c(-8.75447399999996, 40.6144650000001)",Ílhavo,Costa Nova Sul (Ílhavo)
Vagueira Norte,"c(-8.76960899999995, 40.5649260000001)",Vagos,Vagueira Norte (Vagos)
Vagueira,"c(-8.77041499999996, 40.561449)",Vagos,Vagueira (Vagos)
Vagueira Sul,"c(-8.77124599999996, 40.558728)",Vagos,Vagueira Sul (Vagos)
Labrego,"c(-8.77458399999995, 40.5518710000001)",Vagos,Labrego (Vagos)
Areão,"c(-8.78351899999996, 40.5210430000001)",Vagos,Areão (Vagos)
